Year,No.,Round,Pick,Player,Name,Team,College
2000,4,1,19,19,Shaun Alexander,Seahawks,Alabama
2000,5,1,31,31,Trung Canidate,Rams,Arizona
2000,6,3,1,63,Travis Prentice,Browns,Miami (OH)
2000,7,3,14,76,J.R. Redmond,Patriots,Arizona State
2000,8,3,19,81,Reuben Droughns,Lions,Oregon
2000,9,3,26,88,Doug Chapman,Vikings,Marshall
2000,10,4,2,96,Terrelle Smith,Saints,Arizona State
2000,11,4,3,97,Curtis Keaton,Bengals,James Madison
2000,12,4,21,115,Frank Moreau,Chiefs,Louisville
2000,13,4,23,117,Deon Dyer,Dolphins,North Carolina
2000,14,5,3,132,Paul Smith,49ers,Texas-El Paso
2000,15,5,15,144,Michael Wiley,Cowboys,Ohio State
2000,16,5,24,153,Dante Hall,Chiefs,Texas A&M
2000,17,5,27,156,Sammy Morris,Bills,Texas Tech
2000,18,5,37,166,Chad Morton,Saints,USC
2000,19,6,4,170,Frank Murphy,Bears,Kansas State
2000,20,6,5,171,Thomas Hamner,Eagles,Minnesota
2000,21,6,23,189,Mike Anderson,Broncos,Utah
2000,22,7,7,213,Mike Green,Titans,Houston
2000,23,7,21,227,Mondriel Fulcher,Raiders,Miami (FL)
2000,24,7,33,239,Patrick Pass,Patriots,Georgia
2000,25,7,37,243,Shyrone Stith,Jaguars,Virginia Tech
2000,26,7,46,252,Rondell Mealey,Packers,Louisiana State
1999,1,1,4,4,Edgerrin James,Colts,Miami (FL)
1999,2,1,5,5,Ricky Williams,Saints,Texas
1999,3,2,8,39,J.J. Johnson,Dolphins,Mississippi State
1999,4,2,12,43,Rob Konrad,Dolphins,Syracuse
1999,5,2,15,46,Kevin Faulk,Patriots,Louisiana State
1999,6,2,18,49,Joe Montgomery,Giants,Ohio State
1999,7,2,23,54,Mike Cloud,Chiefs,Boston College
1999,8,2,29,60,Jermaine Fazande,Chargers,Oklahoma
1999,9,3,25,86,Shawn Bryson,Bills,Tennessee
1999,10,3,31,92,Jeff Paulk,Falcons,Arizona State
1999,11,3,34,95,Amos Zereoue,Steelers,West Virginia
1999,12,4,8,103,Sedrick Irvin,Lions,Michigan State
1999,13,4,17,112,Sean Bennett,Giants,Northwestern
1999,14,4,21,116,Joel Makovicka,Cardinals,Nebraska
1999,15,4,32,127,Olandis Gary,Broncos,Georgia
1999,16,5,1,134,Cecil Collins,Dolphins,McNeese State
1999,17,5,2,135,Nick Williams,Bengals,Miami (FL)
1999,18,5,24,157,Terry Jackson,49ers,Florida
1999,19,5,26,159,DeMond Parker,Packers,Oklahoma
1999,20,6,3,172,Cecil Martin,Eagles,Wisconsin
1999,21,6,26,195,Lamarr Glenn,Buccaneers,Florida State
1999,22,6,37,206,Dennis McKinley,Cardinals,Mississippi State
1999,23,7,1,207,Madre Hill,Browns,Arkansas
1999,24,7,27,233,Autry Denson,Buccaneers,Notre Dame
1999,25,7,47,253,James Finn,Bears,Pennsylvania
1998,1,1,5,5,Curtis Enis,Bears,Penn State
1998,2,1,9,9,Fred Taylor,Jaguars,Florida
1998,3,1,18,18,Robert Edwards,Patriots,Georgia
1998,4,1,29,29,John Avery,Dolphins,Mississippi
1998,5,2,7,37,Robert Holcombe,Rams,Illinois
1998,6,3,2,63,Jon Ritchie,Raiders,Stanford
1998,7,3,8,69,Skip Hicks,Redskins,UCLA
1998,8,3,15,76,Ahman Green,Seahawks,Nebraska
1998,9,3,20,81,Chris Floyd,Patriots,Michigan
1998,10,3,27,88,Rashaan Shehee,Chiefs,Washington
1998,11,4,3,95,Michael Pittman,Cardinals,Fresno State
1998,12,4,9,101,Tavian Banks,Jaguars,Iowa
1998,13,4,30,122,Curtis Alexander,Broncos,Alabama
1998,14,4,31,123,Carlos King,Steelers,North Carolina State
1998,15,5,6,129,Raymond Priester,Rams,Clemson
1998,16,5,8,131,Jonathan Linton,Bills,North Carolina
1998,17,5,9,132,Wilmont Perry,Saints,Livingstone (NC)
1998,18,5,30,153,Chris Howard,Broncos,Michigan
1998,19,6,23,176,Harold Shaw,Patriots,Southern Mississippi
1998,20,6,25,178,Chris Fuamatu-Ma'afala,Steelers,Utah
1998,21,6,27,180,Fred Beasley,49ers,Auburn
1998,22,6,29,182,Kevin McLeod,Jaguars,Auburn
1998,23,6,30,183,Dustin Johnson,Jets,Brigham Young
1998,24,7,5,194,Jon Haskins,Chargers,Stanford
1998,25,7,12,201,Ken Oxendine,Falcons,Virginia Tech
1998,26,7,13,202,Marcus Parker,Bengals,Virginia Tech
1998,27,7,29,218,Edwin Watson,Packers,Purdue
1998,28,7,34,223,Tarik Smith,Cowboys,California
1998,29,7,35,224,Ernest Blackwell,Chiefs,Missouri
1998,30,7,44,233,Ron Janes,Cardinals,Missouri
1997,1,1,12,12,Warrick Dunn,Buccaneers,Florida State
1997,2,1,23,23,Antowain Smith,Bills,Houston
1997,3,2,6,36,Tiki Barber,Giants,Virginia
1997,4,2,11,41,Byron Hanspard,Falcons,Texas Tech
1997,5,2,13,43,Corey Dillon,Bengals,Washington
1997,6,2,25,55,Marc Edwards,49ers,Notre Dame
1997,7,3,1,61,Sedrick Shaw,Patriots,Iowa
1997,8,3,2,62,Troy Davis,Saints,Iowa State
1997,9,3,4,64,Jay Graham,Ravens,Tennessee
1997,10,3,11,71,Duce Staley,Eagles,South Carolina
1997,11,4,8,104,Leon Johnson,Jets,North Carolina
1997,12,4,9,105,Darnell Autry,Bears,Northwestern
1997,13,4,27,123,Chad Levitt,Raiders,Cornell
1997,14,4,33,129,Nicky Sualua,Cowboys,Ohio State
1997,15,5,8,138,Kenny Bynum,Chargers,South Carolina State
1997,16,5,24,154,George Jones,Steelers,San Diego State
1997,17,5,33,163,June Henley,Chiefs,Kansas
1997,18,6,4,167,Steve Lee,Ravens,Indiana
1997,19,6,9,172,Calvin Branch,Raiders,Colorado State
1997,20,6,12,175,Rod Brown,Cardinals,North Carolina State
1997,21,6,21,184,Daimon Shelton,Jaguars,Sacramento State
1997,22,7,5,206,Terry Battle,Lions,Arizona State
1997,23,7,30,231,Jerald Sowell,Packers,Tulane
1996,1,1,6,6,Lawrence Phillips,Rams,Nebraska
1996,2,1,8,8,Tim Biakabutuka,Panthers,Michigan
1996,3,1,14,14,Eddie George,Oilers,Ohio State
1996,4,2,2,32,Leeland McElroy,Cardinals,Texas A&M
1996,5,2,5,35,Mike Alstott,Buccaneers,Purdue
1996,6,3,4,65,Detron Smith,Broncos,Texas A&M
1996,7,3,12,73,Winslow Oliver,Panthers,New Mexico
1996,8,3,14,75,Moe Williams,Vikings,Kentucky
1996,9,3,19,80,Karim Abdul-Jabbar,Dolphins,UCLA
1996,10,3,22,83,Jerald Moore,Rams,Oklahoma
1996,11,3,30,91,Reggie Brown,Seahawks,Fresno State
1996,12,3,31,92,Jon Witman,Steelers,Penn State
1996,13,4,7,102,Stephen Davis,Redskins,Auburn
1996,14,4,8,103,Ricky Whittle,Saints,Oregon
1996,15,4,20,115,Brian Milne,Colts,Penn State
1996,16,4,22,117,Richard Huntley,Falcons,Winston-Salem State
1996,17,4,23,118,Stanley Pritchett,Dolphins,South Carolina
1996,18,4,28,123,Chris Darkins,Packers,Minnesota
1996,19,4,29,124,Kantroy Barber,Patriots,West Virginia
1996,20,5,2,134,Jerris McPhail,Dolphins,East Carolina
1996,21,5,10,142,Marquette Smith,Panthers,Central Florida
1996,22,6,8,175,Derrick Harris,Rams,Miami (FL)
1996,23,6,16,183,Tim Hall,Raiders,Robert Morris
1996,24,6,26,193,Scott Greene,Panthers,Michigan State
1996,25,6,28,195,Marrio Grier,Patriots,Tennessee-Chattanooga
1996,26,6,29,196,Leon Neal,Bills,Washington
1996,27,6,31,198,Stephen Pitts,49ers,Penn State
1996,28,7,9,218,Mike Archie,Oilers,Penn State
1996,29,7,22,231,Freddie Bradley,Chargers,Sonoma State
1996,30,7,26,235,L.T. Levine,Broncos,Kansas
1996,31,7,34,243,Ryan Wood,Cowboys,Arizona State
1996,32,7,44,253,Michael Hicks,Bears,South Carolina State
1995,1,1,1,1,Ki-Jana Carter,Bengals,Penn State
1995,2,1,17,17,Tyrone Wheatley,Giants,Michigan
1995,3,1,18,18,Napoleon Kaufman,Raiders,Washington
1995,4,1,19,19,James Stewart,Jaguars,Tennessee
1995,5,1,21,21,Rashaan Salaam,Bears,Colorado
1995,6,2,12,44,Ray Zellars,Saints,Notre Dame
1995,7,2,14,46,Sherman Williams,Cowboys,Alabama
1995,8,2,19,51,Terrell Fletcher,Chargers,Wisconsin
1995,9,3,2,66,William Henderson,Packers,North Carolina
1995,10,3,10,74,Curtis Martin,Patriots,Pittsburgh
1995,11,3,15,79,Zack Crockett,Colts,Florida State
1995,12,3,22,86,Joe Aska,Raiders,Central State (OK)
1995,13,3,25,89,Rodney Thomas,Oilers,Texas A&M
1995,14,4,5,103,Larry Jones,Redskins,Miami (FL)
1995,15,4,6,104,Aaron Hayden,Chargers,Tennessee
1995,16,5,23,157,James Stewart,Vikings,Miami (FL)
1995,17,5,35,169,Ryan Christopherson,Jaguars,Wyoming
1995,18,5,36,170,Travis Jervey,Packers,Citadel
1995,19,6,21,192,Cory Schlesinger,Lions,Nebraska
1995,20,6,24,195,Dino Philyaw,Patriots,Oregon
1995,21,6,25,196,Terrell Davis,Broncos,Georgia
1995,22,6,35,206,Charles Way,Giants,Virginia
1995,23,6,37,208,Fred McCrary,Jaguars,Mississippi State
1995,24,7,2,210,Kevin Bouie,Eagles,Mississippi State
1995,25,7,36,244,Darick Holmes,Bills,Portland State
1994,1,1,2,2,Marshall Faulk,Colts,San Diego State
1994,2,1,25,25,Greg Hill,Chiefs,Texas A&M
1994,3,1,28,28,William Floyd,49ers,Florida State
1994,4,2,5,34,Errict Rhett,Buccaneers,Florida
1994,5,2,9,38,Chuck Levy,Cardinals,Arizona
1994,6,2,13,42,Charlie Garner,Eagles,Tennessee
1994,7,2,15,44,Mario Bates,Saints,Arizona State
1994,8,2,29,58,Donnell Bennett,Chiefs,Miami (FL)
1994,9,3,1,66,Jeff Cothran,Bengals,Ohio State
1994,10,3,8,73,Lamar Smith,Seahawks,Houston
1994,11,3,15,80,Calvin Jones,Raiders,Nebraska
1994,12,3,18,83,James Bostic,Rams,Auburn
1994,13,3,19,84,LeShon Johnson,Packers,Northern Illinois
1994,14,3,26,91,Bam Morris,Steelers,Texas Tech
1994,15,3,30,95,Gary Downs,Giants,North Carolina State
1994,16,4,11,114,Raymont Harris,Bears,Ohio State
1994,17,4,26,129,Sean Jackson,Oilers,Florida State
1994,18,5,18,149,Dorsey Levens,Packers,Georgia Tech
1994,19,5,29,160,Tony Vinson,Chargers,Towson
1994,20,6,3,164,Lamont Warren,Colts,Colorado
1994,21,6,10,171,Robert Strait,Browns,Baylor
1994,22,6,12,173,Fred Lester,Jets,Alabama A&M
1994,23,6,24,185,Anthony Daigle,Chiefs,Fresno State
1994,24,7,7,201,Jamal Anderson,Falcons,Utah
1994,25,7,10,204,Frank Harvey,Cardinals,Georgia
1994,26,7,12,206,Mark Montgomery,Eagles,Wisconsin
1994,27,7,15,209,Brice Abrams,Steelers,Michigan State
1994,28,7,18,212,Butler By'not'e,Broncos,Ohio State
1993,1,1,3,3,Garrison Hearst,Cardinals,Georgia
1993,2,1,10,10,Jerome Bettis,Rams,Notre Dame
1993,3,1,21,21,Robert Smith,Vikings,Ohio State
1993,4,2,12,41,Natrone Means,Chargers,North Carolina
1993,5,2,14,43,Glyn Milburn,Broncos,Stanford
1993,6,2,16,45,Reggie Brooks,Redskins,Notre Dame
1993,7,2,20,49,Roosevelt Potts,Colts,N.E. Louisiana
1993,8,3,17,73,Russell White,Rams,California
1993,9,3,22,78,Terry Kirby,Dolphins,Virginia
1993,10,4,3,87,Ronald Moore,Cardinals,Pittsburg State (KS)
1993,11,4,5,89,Lorenzo Neal,Saints,Fresno State
1993,12,4,7,91,Rudy Harris,Buccaneers,Clemson
1993,13,4,10,94,Derrick Lassic,Cowboys,Alabama
1993,14,4,25,109,Derek Brown,Saints,Nebraska
1993,15,5,8,120,Adrian Murrell,Jets,West Virginia
1993,16,5,14,126,Kevin Williams,Broncos,UCLA
1993,17,6,4,144,Richie Anderson,Jets,Penn State
1993,18,6,19,159,Darius Turner,Chiefs,Washington
1993,19,7,16,184,Lance Lewis,Colts,Nebraska
1993,20,8,12,208,Greg Robinson,Raiders,N.E. Louisiana
1992,1,1,9,9,Tommy Vardell,Browns,Stanford
1992,2,1,19,19,Tony Smith,Falcons,Southern Mississippi
1992,3,1,21,21,Vaughn Dunbar,Saints,Indiana
1992,4,2,17,45,Amp Lee,49ers,Florida State
1992,5,2,20,48,Siran Stacy,Eagles,Alabama
1992,6,3,15,71,Kevin Turner,Patriots,Alabama
1992,7,4,1,85,Rodney Culver,Colts,Notre Dame
1992,8,4,8,92,Tony Brooks,Eagles,Notre Dame
1992,9,4,19,103,Edgar Bennett,Packers,Florida State
1992,10,5,1,113,Maury Toy,Colts,UCLA
1992,11,5,7,119,Dexter McNabb,Packers,Florida
1992,12,6,4,144,Joe Campbell,Rams,Middle Tennessee State
1992,13,6,12,152,Mike Gaddis,Vikings,Oklahoma
1992,14,6,27,167,Nate Turner,Bills,Nebraska
1992,15,7,17,185,Kevin Smith,Raiders,UCLA
1992,16,7,20,188,Scottie Graham,Steelers,Ohio State
1992,17,8,4,200,Anthony McDowell,Buccaneers,Texas Tech
1992,18,8,8,204,Scott Lockwood,Patriots,USC
1992,19,8,9,205,Sam Gash,Patriots,Penn State
1992,20,8,11,207,Muhammad Shamsid-Deen,Seahawks,Tennessee-Chattanooga
1992,21,8,16,212,Ronald Humphrey,Colts,Mississippi Valley State
1992,22,8,20,216,Derrick Moore,Falcons,Northeastern State (OK)
1992,23,9,2,226,Ostell Miles,Bengals,Houston
1992,24,10,3,255,Tim Lester,Raiders,Eastern Kentucky
1992,25,10,7,259,Reggie Yarbrough,Cardinals,Fullerton State
1992,26,10,10,262,Mike Saunders,Steelers,Iowa
1992,27,10,15,267,Raoul Spears,Dolphins,USC
1992,28,10,21,273,Nikki Fisher,Bears,Virginia
1992,29,11,4,284,Mazio Royster,Buccaneers,USC
1992,30,11,5,285,Keith McAfee,Chargers,Texas A&M
1992,31,11,15,295,Charles Evans,Vikings,Clark
1992,32,11,26,306,Ed Tillison,Lions,Northwest Missouri State
1992,33,12,20,328,Kameno Bell,Dolphins,Illinois
1991,1,1,14,14,Leonard Russell,Patriots,Arizona State
1991,2,1,21,21,Harvey Williams,Chiefs,Louisiana State
1991,3,1,27,27,Jarrod Bunch,Giants,Michigan
1991,4,2,12,39,Eric Bieniemy,Chargers,Colorado
1991,5,2,16,43,Nick Bell,Raiders,Iowa
1991,6,2,18,45,Ricky Watters,49ers,Notre Dame
1991,7,3,5,60,Aaron Craver,Dolphins,Fresno State
1991,8,3,21,76,Ricky Ervins,Redskins,USC
1991,9,3,25,80,Robert Wilson,Buccaneers,Texas A&M
1991,10,3,26,81,Chuck Webb,Packers,Tennessee
1991,11,4,9,92,Randy Baldwin,Vikings,Mississippi
1991,12,4,14,97,Curvin Richards,Cowboys,Pittsburgh
1991,13,5,1,112,Jon Vaughn,Patriots,Michigan
1991,14,5,4,115,Greg Lewis,Broncos,Washington
1991,15,6,6,145,Erric Pegram,Falcons,North Texas
1991,16,6,9,148,Blaise Bryant,Jets,Iowa State
1991,17,6,10,149,Walter Dean,Packers,Grambling State
1991,18,6,15,154,Fred McAfee,Saints,Mississippi College
1991,19,6,19,158,Leroy Thompson,Steelers,Penn State
1991,20,6,22,161,Darren Lewis,Bears,Texas A&M
1991,21,7,3,170,Tyrone Shelton,Rams,William & Mary
1991,22,7,4,171,Ivory Lee Brown,Cardinals,Arkansas-Pine Bluff
1991,23,7,20,187,James Josephy,Eagles,Auburn
1991,24,7,26,193,Sheldon Canley,49ers,San Jose State
1991,25,7,27,194,Amir Rasul,Bills,Florida A&M
1991,26,8,3,198,Greg Amsler,Cardinals,Tennessee
1991,27,8,10,205,Cedric Jackson,Lions,Texas Christian
1991,28,8,16,211,Mike Dingle,Bengals,South Carolina
1991,29,8,19,214,Gary Brown,Oilers,Penn State
1991,30,9,9,232,Gerald Hudson,Vikings,Oklahoma State
1991,31,9,13,236,Howard Griffith,Colts,Illinois
1991,32,9,14,237,Anthony Wallace,Saints,California
1991,33,9,19,242,Chuck Weatherspoon,Eagles,Houston
1991,34,10,4,254,Roland Poles,Chargers,Tennessee
1991,35,10,11,261,Al Baker,Jets,Kentucky
1991,36,10,15,265,Hyland Hickson,Buccaneers,Michigan State
1991,37,11,13,291,Tony Boles,Cowboys,Michigan
1991,38,11,19,297,Tony Stewart,Seahawks,Iowa
1991,39,12,4,310,Bob Christian,Falcons,Northwestern
1991,40,12,6,312,Ernie Thompson,Rams,Indiana
1991,41,12,11,317,Chris Samuels,Chargers,Texas
1990,1,1,2,2,Blair Thomas,Jets,Penn State
1990,2,1,17,17,Emmitt Smith,Cowboys,Florida
1990,3,1,19,19,Darrell Thompson,Packers,Minnesota
1990,4,1,20,20,Steve Broussard,Falcons,Washington State
1990,5,1,24,24,Rodney Hampton,Giants,Georgia
1990,6,1,25,25,Dexter Carter,49ers,Florida State
1990,7,2,5,30,Reggie Cobb,Buccaneers,Tennessee
1990,8,2,6,31,Anthony Thompson,Cardinals,Indiana
1990,9,2,11,36,Anthony Johnson,Colts,Notre Dame
1990,10,2,13,38,Harold Green,Bengals,South Carolina
1990,11,2,17,42,Carwell Gardner,Bills,Louisville
1990,12,2,20,45,Leroy Hoard,Browns,Michigan
1990,13,3,25,78,Latin Berry,Rams,Oregon
1990,14,4,8,89,Chris Warren,Seahawks,Ferrum
1990,15,4,19,100,Eddie Fuller,Bills,Louisiana State
1990,16,5,6,115,Larry Centers,Cardinals,Stephen F. Austin
1990,17,5,8,117,Pat Chaffey,Bears,Oregon State
1990,18,5,11,120,James Gray,Patriots,Texas Tech
1990,19,5,19,128,Barry Foster,Steelers,Arkansas
1990,20,5,21,130,Brian Mitchell,Redskins,Southwestern Louisiana
1990,21,5,22,131,Cedric Smith,Vikings,Florida
1990,22,5,28,137,Leroy Holt,Dolphins,USC
1990,23,6,2,139,Mike Pringle,Falcons,Fullerton State
1990,24,6,4,141,Derrick Douglas,Buccaneers,Louisiana Tech
1990,25,6,12,149,Marcus Wilson,Raiders,Virginia
1990,26,7,4,169,Johnny Johnson,Cardinals,San Jose State
1990,27,7,19,184,Andy Murray,Oilers,Kentucky
1990,28,7,26,191,Aaron Emanuel,Giants,USC
1990,29,8,7,200,James Rouse,Bears,Arkansas
1990,30,8,8,201,J.J. Flannigan,Chargers,Colorado
1990,31,8,13,206,Ken Clark,Colts,Nebraska
1990,32,9,8,228,Johnny Bailey,Bears,Texas A&I
1990,33,9,10,230,Leon Perry,Raiders,Oklahoma
1990,34,9,13,233,Broderick Graves,Saints,Winston-Salem State
1990,35,9,15,235,Michael Owens,Chiefs,Syracuse
1990,36,9,21,241,Terry Allen,Vikings,Clemson
1990,37,10,5,253,Anthony Landry,Patriots,Stephen F. Austin
1990,38,11,9,285,Reginald Warnsley,Lions,Southern Mississippi
1990,39,11,15,291,Ernest Thompson,Chiefs,Georgia Southern
1990,40,11,23,299,Harry Jackson,Packers,St. Cloud State
1990,41,11,28,304,Myron Jones,Raiders,Fresno State
1990,42,12,4,308,Donnie Riley,Cardinals,Central Michigan
1990,43,12,15,319,Richard Bell,Steelers,Nebraska
1990,44,12,23,327,Judd Garrett,Eagles,Princeton
1990,45,12,24,328,David Lang,Rams,Northern Arizona
1989,1,1,3,3,Barry Sanders,Lions,Oklahoma State
1989,2,1,7,7,Tim Worley,Steelers,Georgia
1989,3,1,9,9,Sammie Smith,Dolphins,Florida State
1989,4,1,13,13,Eric Metcalf,Browns,Texas
1989,5,1,26,26,Cleveland Gary,Rams,Miami (FL)
1989,6,2,7,35,Eric Ball,Bengals,UCLA
1989,7,2,11,39,Darly Johnston,Cowboys,Syracuse
1989,8,3,6,62,Keith Jones,Falcons,Illinois
1989,9,3,15,71,Elroy Harris,Seahawks,Eastern Kentucky
1989,10,3,20,76,Robert Drummond,Eagles,Syracuse
1989,11,3,28,84,Keith Henderson,49ers,Georgia
1989,12,4,9,93,Lewis Tillman,Giants,Jackson State
1989,13,5,5,117,Jamie Lawson,Buccaneers,Nicholls State
1989,14,5,15,127,Vince Workman,Packers,Ohio State
1989,15,5,18,130,Mark Green,Bears,Notre Dame
1989,16,5,20,132,Dave Meggett,Giants,Towson
1989,17,6,17,156,Doug Lloyd,Raiders,North Dakota State
1989,18,6,23,162,Heath Sherman,Eagles,Texas A&I
1989,19,6,26,165,Eric Mitchell,Patriots,Oklahoma
1989,20,6,27,166,Craig Taylor,Bengals,West Virginia
1989,21,7,5,172,Undra Johnson,Falcons,West Virginia
1989,22,7,13,180,Melvin Bratton,Broncos,Miami (FL)
1989,23,7,15,182,Ivy Joe Hunter,Colts,Kentucky
1989,24,7,16,183,Marion Butts,Chargers,Florida State
1989,25,8,1,196,Charvez Foger,Cowboys,Nevada
1989,26,8,4,199,Bryan Tobey,Chiefs,Grambling State
1989,27,8,10,205,Derrick Gainer,Raiders,Florida A&M
1989,28,8,12,207,John Burch,Cardinals,Tennessee-Martin
1989,29,8,14,209,Anthony Brown,Jets,West Virginia
1989,30,8,25,220,Todd McNair,Chiefs,Temple
1989,31,9,7,230,Patrick Egu,Buccaneers,Nevada
1989,32,9,17,240,Darron Norris,Patriots,Texas
1989,33,9,18,241,Wayne Williams,Broncos,Florida
1989,34,9,25,248,Byron Sanders,Bears,Northwestern
1989,35,10,17,268,Derrick Fenner,Seahawks,North Carolina
1989,36,10,20,271,Tracy Johnson,Oilers,Clemson
1989,37,10,22,273,Joe Henderson,Saints,Iowa State
1989,38,11,7,286,Greg Paterra,Falcons,Slippery Rock
1989,39,11,8,287,Victor Floyd,Chargers,Florida State
1989,40,11,10,289,Jim Bell,49ers,Boston College
1989,41,11,15,294,Tony Hinz,Patriots,Harvard
1989,42,11,24,303,Brad Baxter,Vikings,Alabama State
1989,43,12,4,311,Bill Jones,Chiefs,Southwest Texas State
1989,44,12,7,314,William DuBose,Colts,South Carolina State
1989,45,12,10,317,Joe Mickles,Redskins,Mississippi
1988,1,1,14,14,Gaston Green,Rams,UCLA
1988,2,1,17,17,John Stephens,Patriots,Northwestern State (LA)
1988,3,1,22,22,Lorenzo White,Oilers,Michigan State
1988,4,1,23,23,Brad Muster,Bears,Stanford
1988,5,1,24,24,Craig Heyward,Saints,Pittsburgh
1988,6,2,4,31,Ickey Woods,Bengals,UNLV
1988,7,2,11,38,Tony Jeffery,Cardinals,Texas Christian
1988,8,2,13,40,Thurman Thomas,Bills,Oklahoma State
1988,9,2,26,53,Lars Tate,Buccaneers,Georgia
1988,10,3,6,61,Keith Woodside,Packers,Texas A&M
1988,11,3,11,66,Mike Oliphant,Redskins,Puget Sound
1988,12,4,19,101,Kevin Harmon,Seahawks,Iowa
1988,13,4,24,106,Lydell Carr,Saints,Oklahoma
1988,14,4,27,109,Jamie Morris,Redskins,Michigan
1988,15,5,4,113,William Howard,Buccaneers,Tennessee
1988,16,5,8,117,Robert Delpino,Rams,Missouri
1988,17,5,23,132,Tony Jordan,Cardinals,Kansas State
1988,18,6,2,139,James Saxon,Chiefs,San Jose State
1988,19,6,5,142,Carl Painter,Lions,Hampton
1988,20,6,10,147,Keith Jones,Rams,Nebraska
1988,21,6,16,153,Melvin Bratton,Dolphins,Miami (FL)
1988,22,6,18,155,Warren Williams,Steelers,Miami (FL)
1988,23,6,19,156,George Cooper,Dolphins,Ohio State
1988,24,7,2,167,Kerry Goode,Buccaneers,Alabama
1988,25,7,7,172,Gary Patton,Jets,Eastern Michigan
1988,26,7,19,184,Bo Wright,Bills,Alabama
1988,27,8,5,198,Anthony Simpson,Buccaneers,East Carolina
1988,28,8,7,200,Patrick Collins,Packers,Oklahoma
1988,29,8,12,205,Mark Higgs,Cowboys,Kentucky
1988,30,8,14,207,David Smith,Eagles,Western Kentucky
1988,31,8,24,217,Harvey Reed,Bears,Howard
1988,32,8,28,221,Darryl McGill,Redskins,Wake Forest
1988,33,9,1,222,James Primus,Falcons,UCLA
1988,34,9,6,227,Reggie Ware,Raiders,Auburn
1988,35,9,15,236,Gordie Lockbaum,Steelers,Holy Cross
1988,36,9,27,248,Mel Farr Jr.,Broncos,UCLA
1988,37,10,2,251,Kenny Gamble,Chiefs,Colgate
1988,38,10,19,268,Channing Williams,Broncos,Arizona State
1988,39,11,15,292,Tom Kelleher,Dolphins,Holy Cross
1988,40,11,17,294,Marvin Allen,Patriots,Tulane
1988,41,11,27,304,Richard Calvin,Broncos,Washington State
1987,1,1,3,3,Alonzo Highsmith,Oilers,Miami (FL)
1987,2,1,4,4,Brent Fullwood,Packers,Auburn
1987,3,1,14,14,D.J. Dozier,Vikings,Penn State
1987,4,1,19,19,Paul Palmer,Chiefs,Temple
1987,5,1,21,21,Roger Vick,Jets,Texas A&M
1987,6,1,24,24,Rod Bernstine,Chargers,Texas A&M
1987,7,1,25,25,Terrence Flagler,49ers,Clemson
1987,8,2,3,31,Kenny Flowers,Falcons,Clemson
1987,9,2,7,35,Christian Okoye,Chiefs,Azusa Pacific
1987,10,2,23,51,Don Smith,Buccaneers,Mississippi State
1987,11,3,22,78,Jamie Mueller,Bills,Benedictine
1987,12,3,23,79,Bob Perryman,Patriots,Michigan
1987,13,3,24,80,Tim Manoa,Browns,Penn State
1987,14,3,25,81,Steve Smith,Raiders,Penn State
1987,15,4,15,99,Troy Stradford,Dolphins,Boston College
1987,16,5,5,117,Timmy Smith,Redskins,Texas Tech
1987,17,5,6,118,George Swarn,Cardinals,Miami (OH)
1987,18,5,7,119,Tommie Agee,Seahawks,Auburn
1987,19,5,18,130,Marc Logan,Bengals,Kentucky
1987,20,5,21,133,Spencer Tillman,Oilers,Oklahoma
1987,21,6,3,143,Steve Bartalo,Buccaneers,Colorado State
1987,22,6,20,160,Tim Richardson,Giants,Pacific
1987,23,6,27,167,Warren Marshall,Broncos,James Madison
1987,24,7,3,171,Kerry Porter,Bills,Washington State
1987,25,7,14,182,Tom Brown,Dolphins,Pittsburgh
1987,26,7,15,183,Bo Jackson,Raiders,Auburn
1987,27,8,1,196,Eddie Hunter,Jets,Virginia Tech
1987,28,8,16,211,Rick Fenney,Vikings,Washington
1987,29,8,23,218,Michael Clemons,Chiefs,William & Mary
1987,30,9,1,224,Joe Armentrout,Buccaneers,Wisconsin
1987,31,9,3,226,Thomas Wilcher,Chargers,Michigan
1987,32,9,7,230,Rick Calhoun,Lions,Fullerton State
1987,33,9,12,235,Alvin Blount,Cowboys,Maryland
1987,34,9,17,240,Tracy Ham,Rams,Georgia Southern
1987,35,9,25,248,Alfred Jenkins,Redskins,Arizona
1987,36,9,26,249,Lakei Heimuli,Bears,Brigham Young
1987,37,9,28,251,Dana Wright,Giants,Findlay
1987,38,10,10,261,Merril Hoge,Steelers,Idaho State
1987,39,10,18,269,David McCluskey,Bengals,Georgia
1987,40,10,20,271,James Evans,Chiefs,Southern
1987,41,11,1,280,Reggie Taylor,Buccaneers,Cincinnati
1987,42,11,9,288,Chris McLemore,Raiders,Arizona
1987,43,11,18,297,Darryl Oliver,Seahawks,Miami (FL)
1987,44,11,26,305,Tim Jessie,Bears,Auburn
1987,45,11,27,306,Tommy Neal,Broncos,Maryland
1987,46,12,2,309,David Adams,Colts,Arizona
1987,47,12,3,310,Marcus Greenwood,Chargers,UCLA
1987,48,12,7,314,Ira Valentine,Oilers,Texas A&M
1987,49,12,9,316,Bobby Morse,Eagles,Michigan State
1987,50,12,13,320,Larry Emery,Falcons,Wisconsin
1987,51,12,17,324,Tony Burse,Seahawks,Middle Tennessee State
1987,52,12,19,326,Alonzo Williams,Rams,Mesa State
